stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
33276,33276,PARKER ROAD STATION,PARKER ROAD STATION,33.033752,-96.700974,,,1
33278,33278,CITYPLACE/UPTOWN WEST,CITYPLACE/UPTOWN WEST,32.805335,-96.793842,,,1
33281,33281,SPRING VALLEY STATION,SPRING VALLEY STATION,32.940967,-96.737579,,,1
33282,33282,CEDARS STATION,CEDARS STATION,32.768836,-96.793412,,,1
33285,33285,INWOOD/LOVE FIELD STATION,INWOOD/LOVE FIELD STATION,32.822314,-96.833233,,,1
33286,33286,SOUTHWEST MEDICAL DISTRICT/PARKLAND,SOUTHWEST MEDICAL DISTRICT/PARKLAND,32.812312,-96.832967,,,1
33287,33287,LAKE JUNE STATION,LAKE JUNE STATION,32.732765,-96.709367,,,1
33288,33288,BUCKNER STATION,BUCKNER STATION,32.718352,-96.684411,,,1
33289,33289,FOREST LN STATION,FOREST LN STATION,32.908402,-96.762082,,,1
33290,33290,GLEN LAKES @ MANDERVILLE - W - MB,GLEN LAKES @ MANDERVILLE -Westbound -Mid Block (not near the intersection),32.883349,-96.764963,,,1
33292,33292,PARK LANE STATION,PARK LANE STATION,32.872622,-96.765728,,,1
33294,33294,FARMERS BRANCH STATION,FARMERS BRANCH STATION,32.921989,-96.896417,,,1
33295,33295,BACHMAN STATION,BACHMAN STATION,32.853841,-96.877473,,,1
33296,33296,MARKET CENTER STATION,MARKET CENTER STATION,32.804751,-96.823348,,,1
33297,33297,LBJ / SKILLMAN STATION,LBJ / SKILLMAN STATION,32.897796,-96.711823,,,1
33299,33299,DOWNTOWN CARROLLTON STATION,DOWNTOWN CARROLLTON STATION,32.954508,-96.908109,,,1
33300,33300,LAWNVIEW STATION,LAWNVIEW STATION,32.765382,-96.720012,,,1
33302,33302,TRINITY MILLS RAIL STATION,TRINITY MILLS RAIL STATION,32.980604,-96.926084,,,1
33312,33312,J B JACKSON JR TRANSIT CENTER,J B JACKSON JR TRANSIT CENTER,32.77382,-96.764382,,,1
33315,33315,DALLAS COLLEGE NORTHLAKE CAMPUS  STATION,DALLAS COLLEGE NORTHLAKE CAMPUS STATION,32.875063,-96.967151,,,0
33317,33317,ROYAL LANE STATION,ROYAL LANE STATION,32.896276,-96.888283,,,1
33318,33318,CBD WEST TC,CBD WEST TC,32.781462,-96.804241,,,1
33320,33320,LAKE HIGHLANDS STATION,LAKE HIGHLANDS STATION,32.879963,-96.730774,,,1
33323,33323,BAYLOR STATION EAST,BAYLOR STATION EAST,32.787185,-96.782422,,,0
33324,33324,BAYLOR STATION WEST,BAYLOR STATION WEST,32.786961,-96.782916,,,0
33325,33325,ELSIE FAYE HEGGINS @ RACELL - E- NS,ELSIE FAYE HEGGINS @ RACELL -Eastbound-Near Side (before the intersection),32.765695,-96.741441,,,0
33326,33326,ELSIE FAYE HEGGINS @ KENILWORTH - W - NS,ELSIE FAYE HEGGINS @ KENILWORTH -Westbound -Near Side (before the intersection),32.765991,-96.741419,,,0
33329,33329,BAYLOR STATION,BAYLOR STATION,32.787427,-96.782046,,,1
33335,33335,IRVING CONVENTION CENTER STATION,IRVING CONVENTION CENTER STATION,32.877658,-96.93959,,,1
33336,33336,CAMP WISDOM STATION,CAMP WISDOM STATION,32.666576,-96.787832,,,0
33339,33339,FRAN WAY @ 11 ST - S - FS,FRAN WAY @ 11 ST -Southbound -Far Side (after the intersection),32.746037,-96.80032,,,0
33346,33346,MARSALIS @ 9TH - N - NS,MARSALIS @ 9TH -Northbound -Near Side (before the intersection),32.749448,-96.815563,,,0
33347,33347,MARSALIS @ 9TH - S - NS,MARSALIS @ 9TH -Southbound -Near Side (before the intersection),32.749797,-96.815659,,,0
33351,33351,LAWNVIEW @ FAIRWAY - N - NS,LAWNVIEW @ FAIRWAY -Northbound -Near Side (before the intersection),32.771307,-96.718484,,,0
33352,33352,LAWNVIEW @ FAIRWAY - S - FS,LAWNVIEW @ FAIRWAY -Southbound -Far Side (after the intersection),32.770966,-96.718688,,,0
33356,33356,MAC ARTHUR @ FLUOR - S - MB,MAC ARTHUR @ FLUOR -Southbound -Mid Block (not near the intersection),32.902079,-96.958969,,,0
33360,33360,OCONNOR @ METKER - N - FS,OCONNOR @ METKER -Northbound -Far Side (after the intersection),32.845549,-96.950625,,,0
33361,33361,PARKER @ US 75  - W -  MB,PARKER @ US 75 -Westbound -Mid Block (not near the intersection),33.037425,-96.702898,,,0
33362,33362,ARCHERWOOD @ EXCHANGE - S - FS,ARCHERWOOD @ EXCHANGE -Southbound -Far Side (after the intersection),33.032774,-96.701975,,,0
33369,33369,PLANO @ BUCKINGHAM - S - MB,PLANO @ BUCKINGHAM -Southbound -Mid Block (not near the intersection),32.932671,-96.700182,,,0
33370,33370,PLANO @ BUCKINGHAM - N - FS,PLANO @ BUCKINGHAM -Northbound -Far Side (after the intersection),32.931613,-96.699957,,,0
33378,33378,WATERVIEW @ FRANK JOHNSON - N - FS,WATERVIEW @ FRANK JOHNSON -Northbound -Far Side (after the intersection),32.98991,-96.7562,,,0
33380,33380,WATERVIEW @ SYNERGY PARK - N - NS,WATERVIEW @ SYNERGY PARK -Northbound -Near Side (before the intersection),32.992768,-96.756199,,,0
33436,33436,SPRING VALLEY @ LINGCO - W- NS,SPRING VALLEY @ LINGCO -Westbound-Near Side (before the intersection),32.940055,-96.73836,,,0
33438,33438,ABRAMS @ WILLINGHAM - S - NS,ABRAMS @ WILLINGHAM -Southbound -Near Side (before the intersection),32.936773,-96.731282,,,0
33443,33443,WASHINGTON @ ROSS - W - FS,WASHINGTON @ ROSS -Westbound -Far Side (after the intersection),32.798102,-96.786387,,,0
33445,33445,PEAR RIDGE @ TIMBERGLEN - N - MB,PEAR RIDGE @ TIMBERGLEN -Northbound -Mid Block (not near the intersection),33.002811,-96.824779,,,0
33451,33451,8TH @ JEFFERSON - E- NS,8TH @ JEFFERSON -Eastbound-Near Side (before the intersection),32.751161,-96.812043,,,0
33453,33453,JOSEY @ NORTH CREST - N - FS,JOSEY @ NORTH CREST -Northbound -Far Side (after the intersection),32.982072,-96.889927,,,0
33454,33454,INWOOD @ MAPLE - N - MB,INWOOD @ MAPLE -Northbound -Mid Block (not near the intersection),32.81965,-96.838162,,,0
33456,33456,HASKELL @ MAIN - E - FS,HASKELL @ MAIN -Eastbound -Far Side (after the intersection),32.788413,-96.770567,,,0
33462,33462,JOSEY @ GREEN RIDGE - N - MB,JOSEY @ GREEN RIDGE -Northbound -Mid Block (not near the intersection),32.988031,-96.890366,,,0
33470,33470,ROYAL @ LUNA - W - FS,ROYAL @ LUNA -Westbound -Far Side (after the intersection),32.895676,-96.919069,,,0
33473,33473,DFW TERMINAL B,DFW TERMINAL B,32.906306,-97.041243,,,0
33474,33474,DFW NORTH STATION,DFW NORTH STATION,32.933913,-97.054193,,,0
33480,33480,BECKLEY @ MORGAN - S - NS,BECKLEY @ MORGAN -Southbound -Near Side (before the intersection),32.766226,-96.82298,,,0
33481,33481,BECKLEY @ MORGAN - N - NS,BECKLEY @ MORGAN -Northbound -Near Side (before the intersection),32.765885,-96.822743,,,0
33482,33482,BECKLEY @ COMMERCE - N - NS,BECKLEY @ COMMERCE -Northbound -Near Side (before the intersection),32.772303,-96.822801,,,0
33485,33485,FIELD @ WOOD - N - MB,FIELD @ WOOD -Northbound -Mid Block (not near the intersection),32.777869,-96.800191,,,0
