SERVICE_ID,BLOCK_ID,PULLOUTTIME,PULLINTIME
2,25102,17820,91380
2,30601,17400,30720
2,30602,21000,30900
2,30603,20340,36840
2,30604,18600,31860
2,30605,18540,35040
2,30606,19800,33060
2,30651,42180,68400
2,30652,52140,66540
2,30653,53940,70740
2,30654,56340,69600
2,30655,57540,70800
2,30656,58740,72000
2,30801,16920,35220
2,30802,17520,38520
2,30803,18720,34020
2,30804,19620,35220
2,30805,20820,37320
2,30806,21120,36120
2,30807,22320,37320
2,30851,48960,73320
2,30852,52560,72720
2,30853,52920,74520
2,30854,53760,70980
2,30855,54120,75720
2,30856,54360,72180
2,30857,55320,71820
2,30858,56520,69480
2,88301,22020,56160
2,88302,22320,55440
2,88303,22920,57060
2,88304,23220,56340
2,88351,50820,86340
2,88352,50820,86760
2,88353,51720,85860
2,88354,51720,85140
3,101,13140,89520
3,102,13440,90660
3,103,14940,88860
3,104,34140,73740
3,105,35580,71940
3,106,35940,70140
3,301,13200,90960
3,302,15000,89460
3,303,16800,69660
3,304,33000,91260
3,305,34800,70260
3,501,14580,80220
3,502,19320,92040
3,901,13200,89160
3,902,13080,88920
3,903,15000,69420
3,904,14880,90720
3,905,25680,71820
3,906,33900,72060
3,907,34680,90960
3,908,35700,70140
3,909,36480,70260
3,1301,13680,88440
3,1302,15480,74340
3,1303,17280,70740
3,1304,32880,92040
3,1305,36480,90240
3,1501,12720,94560
3,1502,12420,94380
3,1503,14520,92580
3,1504,14220,71760
3,1505,31920,92760
3,1506,31620,70440
3,1601,12420,89880
3,1602,14220,88740
3,1603,16020,90540
3,1604,17820,92340
3,1605,32820,71940
3,1701,12300,72960
3,1702,14100,92700
3,1703,15900,94500
3,1704,17700,93360
3,1705,19800,71700
3,1706,34200,95160
3,1707,33900,70740
3,1801,12420,88080
3,1802,14220,72120
3,1803,16080,86280
3,1804,16020,69900
3,1805,17820,89520
3,1806,26820,91680
3,1807,34020,89880
3,1808,35280,68700
3,1809,37620,93480
3,2001,12360,92220
3,2002,15000,68220
3,2003,14160,91980
3,2004,16800,90420
3,2005,15960,68880
3,2006,31560,72780
3,2007,34200,88620
3,2008,35160,93780
3,2201,12000,93660
3,2202,12900,94320
3,2203,13800,92520
3,2204,14700,91860
3,2205,15600,71460
3,2206,31200,90720
3,2207,32700,71100
3,2301,13440,92700
3,2302,14700,90900
3,2303,15240,72060
3,2304,37440,91320
3,2501,12300,70560
3,2502,14220,93540
3,2503,14100,91740
3,2504,31620,91560
3,2505,31500,70740
3,2701,14040,70080
3,2702,19920,90480
3,2703,32940,90600
3,3001,12780,91860
3,3002,18720,72000
3,3003,36900,90060
3,3801,12840,51360
3,3802,13500,72120
3,3803,12720,51720
3,3804,13620,68520
3,3805,35520,93000
3,3806,35520,92640
3,3851,48720,92160
3,3852,48720,92460
3,5701,13020,67800
3,5702,18420,72180
3,5703,14820,92160
3,5704,19920,91080
3,5705,16620,93960
3,5706,26040,71760
3,5707,33420,90360
3,5708,35040,92880
3,10101,17040,90780
3,10102,22980,88800
3,10103,15900,90600
3,10104,17700,92400
3,10105,19500,94200
3,10201,16620,90900
3,10202,14820,90480
3,10301,15900,88500
3,10302,17700,90300
3,10401,16560,90660
3,10402,17280,89880
